"","fips","SCC","Pollutant","Emissions","type","year"
"118","24011","2103002000","PM25-PRI",0.305,"NONPOINT",1999
"119","24013","2103002000","PM25-PRI",587.321,"NONPOINT",1999
"120","24015","2103002000","PM25-PRI",0,"NONPOINT",1999
"121","24017","10100212","PM25-PRI",6126.268,"POINT",1999
"122","24017","2103002000","PM25-PRI",149.814,"NONPOINT",1999
"123","24019","2103002000","PM25-PRI",0.509,"NONPOINT",1999
"124","24021","2103002000","PM25-PRI",282.535,"NONPOINT",1999
"125","24023","2103002000","PM25-PRI",1.38,"NONPOINT",1999
"126","24025","2103002000","PM25-PRI",0,"NONPOINT",1999
"127","24027","2103002000","PM25-PRI",0,"NONPOINT",1999
"128","24029","2103002000","PM25-PRI",0,"NONPOINT",1999
"129","24031","10100212","PM25-PRI",2281.711,"POINT",1999
"130","24031","2103002000","PM25-PRI",0.611,"NONPOINT",1999
"131","24033","10100212","PM25-PRI",3835.908,"POINT",1999
"132","24033","2103002000","PM25-PRI",0,"NONPOINT",1999
"133","24035","2103002000","PM25-PRI",0,"NONPOINT",1999
"134","24037","2103002000","PM25-PRI",0,"NONPOINT",1999
"135","24039","2103002000","PM25-PRI",0.034,"NONPOINT",1999
"136","24041","2103002000","PM25-PRI",0,"NONPOINT",1999
"137","24043","10100202","PM25-PRI",7.743,"POINT",1999
"138","24043","10100212","PM25-PRI",153.554,"POINT",1999
"139","24043","2103002000","PM25-PRI",278.237,"NONPOINT",1999
"140","24045","2103002000","PM25-PRI",0,"NONPOINT",1999
"141","24047","2103002000","PM25-PRI",0,"NONPOINT",1999
"142","24510","2103002000","PM25-PRI",1.029,"NONPOINT",1999
"143","01001","10200204","PM25-PRI",5.637,"POINT",1999
"144","01001","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"145","01001","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"146","01001","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"147","01003","10100101","PM25-PRI",0.135,"POINT",1999
"148","01003","2102002000","PM25-PRI",0.373,"NONPOINT",1999
"149","01003","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"150","01003","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"151","01005","2102002000","PM25-PRI",0.132,"NONPOINT",1999
"152","01005","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"153","01005","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"154","01007","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"155","01007","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"156","01007","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"157","01009","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"158","01009","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"159","01009","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"160","01011","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"161","01011","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"162","01011","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"163","01013","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"164","01013","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"165","01013","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"166","01015","10200204","PM25-PRI",0.346,"POINT",1999
"167","01015","10300208","PM25-PRI",9.655,"POINT",1999
"168","01015","2102002000","PM25-PRI",0.57,"NONPOINT",1999
"169","01015","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"170","01015","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"171","01017","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"172","01017","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"173","01017","2103002000","PM25-PRI",0.011,"NONPOINT",1999
